"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1987771331807772767","Mon Nov 10 09:27:12 +0000 2025","0","@Dorayakii02 ... dapat dilakukan dgn cara memastikan data istri telah masuk dalam FTU/Data Unit keluarga suami di akun coretax suami ya Kak. Silakan pastikan istri belum masuk ke FTU lainnya. (2/4)","1987814286996255199","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1987814286996255199","4564565058",
"1987814242192425003","Mon Nov 10 09:27:02 +0000 2025","0","Kegiatan ini bertujuan untuk memberikan pemahaman teknis kepada peserta terkait proses aktivasi akun Coretax dan pengelolaan kode otorisasi sebagai bagian dari implementasi sistem administrasi perpajakan yang modern.","1987814243647795292","","pajak_gorontalo","in","","0","0","0","https://x.com/undefined/status/1987814243647795292","2890400018",
"1987814242192425003","Mon Nov 10 09:27:01 +0000 2025","0","KPP Pratama Gorontalo memenuhi undangan dari BPKP Provinsi Gorontalo untuk menjadi narasumber dalam kegiatan Bimbingan Teknis Aktivasi Akun Coretax dan Pembuatan Kode Otorisasi. (Senin 10/11) https://t.co/XOqeYF4Wnv","1987814242192425003","https://pbs.twimg.com/media/G5YihNLXoAAiCjq.jpg","","in","","0","1","0","https://x.com/undefined/status/1987814242192425003","2890400018",
"1986732721788645452","Mon Nov 10 09:25:45 +0000 2025","0","@Vinz__Chou Hai Kak. Apabila retur sudah berhasil dibatalkan statusnya akan menjadi canceled pada menu Retur Pajak Keluaran apabila memerlukan bukti bahwa Retur tersebut sudah dibatalkan dapat dilihat pada akun coretax yang membatalkan retur pajak tersebut. (1/2)","1987813921898877080","","Vinz__Chou","in","","0","1","0","https://x.com/undefined/status/1987813921898877080","4564565058",
"1987771331807772767","Mon Nov 10 09:25:34 +0000 2025","0","@Dorayakii02 Hai Kak. Mohon maaf atas ketidaknyamanannya. Apakah saat ini masih terkendala? Dalam kondisi normal dan secara sistem di coretax apabila istri yang belum memiliki NPWP dan ingin gabung dengan NPWP suami ... (1/4)","1987813875497271435","","Dorayakii02","in","","0","1","0","https://x.com/undefined/status/1987813875497271435","4564565058",
"1987729657891016761","Mon Nov 10 09:25:21 +0000 2025","0","@dipucukpohoncmr Hai Kak. Jika saat proses Aktivasi Akun Wajib Pajak pada Coretax surat elektronik (email) / nomor telepon (nomor HP) tidak sesuai atau sudah tidak diketahui maka silakan melakukan perubahan data email dan nomor telepon. (1/3)","1987813821906604441","","dipucukpohoncmr","in","","0","1","0","https://x.com/undefined/status/1987813821906604441","4564565058",
"1987776748558365155","Mon Nov 10 09:24:48 +0000 2025","2","@hqbapmfi Hai Kak Sesuai Pasal 33 PER-11/PJ/2025 email bukan merupakan keterangan yang harus dicantumkan dalam Faktur Pajak. Seharusnya data email pada informasi pembeli akan otomatis tertampil ketika penjual menginputkan NPWP pembeli pada saat membuat FP di Coretax. (1/2)","1987813683825958947","","hqbapmfi","in","","0","1","0","https://x.com/undefined/status/1987813683825958947","4564565058",
"1986288938873725261","Mon Nov 10 09:16:56 +0000 2025","0","@rahastitika Terkait informasi login terakhir tanggal dan jam tsb seharusnya menunjukkan kapan terakhir kali Kakak login ke akun Coretax tsb. Apabila tidak sesuai namun tidak berpengaruh terhadap tanggal dokumen yg diterbitkan via Coretax silakan mengabaikan tanggal dan jam tsb. (3/4)","1987811702596055549","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1987811702596055549","4564565058",
"1986288938873725261","Mon Nov 10 09:16:43 +0000 2025","1","@rahastitika Mohon kesediaannya untuk mencoba beberapa langkah berikut sebelum mengakses ulang Coretax: 1. Lakukan clear cache &amp; cookies pada browser; 2. Gunakan mode private/incognito; 3. Coba secara berkala menggunakan browser perangkat dan/atau koneksi internet berbeda. (2/4)","1987811647558467847","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1987811647558467847","4564565058",
"1987810931628503081","Mon Nov 10 09:13:52 +0000 2025","0","Min udh aktivasi akun coretax kah?","1987810931628503081","","","in","","0","0","0","https://x.com/undefined/status/1987810931628503081","111605105",
"1987810908605907003","Mon Nov 10 09:13:47 +0000 2025","0","lagi merenunk️ dan emosi gegara coretax","1987810908605907003","","","in","","0","0","0","https://x.com/undefined/status/1987810908605907003","1720635726306631680",
"1986695401328812419","Mon Nov 10 09:13:18 +0000 2025","0","@moodpiscess0202 Pada coretax terdapat dua entitas yg dapat diberikan wewenang: 1.Pegawai/Pengurus sebagai Wakil yg masuk kategori Pihak lain yang dapat ditunjuk 2.Konsultan Pajak yang masuk kategori Kuasa Penunjukan/pengubahan/penghapusan pihak lain (wakil) atau kuasa hanya dapat... (2/5)","1987810788422320175","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1987810788422320175","4564565058",
"1987808064276427213","Mon Nov 10 09:02:28 +0000 2025","0","Baru juga mau merem gw udah disuruh iniin coretax","1987808064276427213","","","in","","0","0","0","https://x.com/undefined/status/1987808064276427213","843714327794262018",
